date,1a. open (USD),1b. open (USD),2a. high (USD),2b. high (USD),3a. low (USD),3b. low (USD),4a. close (USD),4b. close (USD),5. volume,6. market cap (USD)
12/07/2020,9234.02,9234.02,9345,9345,9157.5,9157.5,9302.75,9302.75,30872.70229,30872.70229
11/07/2020,9288.34,9288.34,9299.28,9299.28,9178.25,9178.25,9234.03,9234.03,22561.366,22561.366
10/07/2020,9232.42,9232.42,9317.48,9317.48,9125,9125,9288.34,9288.34,38295.49401,38295.49401
09/07/2020,9436.06,9436.06,9440.79,9440.79,9160,9160,9232.43,9232.43,48044.45065,48044.45065
08/07/2020,9257.4,9257.4,9470,9470,9231,9231,9436.06,9436.06,56140.51778,56140.51778
07/07/2020,9342.47,9342.47,9379.42,9379.42,9203,9203,9257.39,9257.39,34587.33668,34587.33668
06/07/2020,9069.41,9069.41,9375,9375,9055.92,9055.92,9344.2,9344.2,54463.13228,54463.13228
05/07/2020,9135,9135,9145.24,9145.24,8893.03,8893.03,9069.41,9069.41,34073.65363,34073.65363
04/07/2020,9057.79,9057.79,9190,9190,9040.04,9040.04,9135.46,9135.46,26441.96848,26441.96848
03/07/2020,9086.54,9086.54,9125,9125,9037.47,9037.47,9058.26,9058.26,28943.42018,28943.42018
02/07/2020,9231.99,9231.99,9261.96,9261.96,8940,8940,9086.54,9086.54,45725.16808,45725.16808
01/07/2020,9138.08,9138.08,9292,9292,9080.1,9080.1,9232,9232,38488.5287,38488.5287
30/06/2020,9192.93,9192.93,9205,9205,9064.89,9064.89,9138.55,9138.55,31463.1628,31463.1628
29/06/2020,9116.16,9116.16,9238,9238,9024.67,9024.67,9192.56,9192.56,42120.29326,42120.29326
28/06/2020,9012,9012,9191,9191,8948.06,8948.06,9116.35,9116.35,30688.17642,30688.17642
27/06/2020,9162.21,9162.21,9196.24,9196.24,8833,8833,9012,9012,46290.93011,46290.93011
26/06/2020,9249.49,9249.49,9298,9298,9045.45,9045.45,9162.21,9162.21,50292.29828,50292.29828
25/06/2020,9298.33,9298.33,9340,9340,9009.69,9009.69,9249.49,9249.49,55831.61916,55831.61916
24/06/2020,9624.33,9624.33,9670,9670,9208,9208,9296.49,9296.49,61571.56146,61571.56146
23/06/2020,9685.69,9685.69,9720,9720,9577.03,9577.03,9624.89,9624.89,41031.02938,41031.02938
22/06/2020,9294.69,9294.69,9780,9780,9277.09,9277.09,9685.69,9685.69,57895.46834,57895.46834
21/06/2020,9358.95,9358.95,9422,9422,9281.54,9281.54,9294.69,9294.69,24316.92623,24316.92623
20/06/2020,9310.23,9310.23,9395,9395,9170.95,9170.95,9358.95,9358.95,30329.06538,30329.06538
19/06/2020,9386.32,9386.32,9438.3,9438.3,9215.79,9215.79,9310.23,9310.23,45330.98367,45330.98367
18/06/2020,9465.13,9465.13,9489,9489,9280,9280,9386.32,9386.32,37381.95377,37381.95377
17/06/2020,9526.97,9526.97,9565,9565,9236.61,9236.61,9465.14,9465.14,48046.41115,48046.41115
16/06/2020,9426.05,9426.05,9589,9589,9373.09,9373.09,9525.59,9525.59,52052.44693,52052.44693
15/06/2020,9342.1,9342.1,9495,9495,8910.45,8910.45,9426.02,9426.02,86107.92471,86107.92471
14/06/2020,9473.34,9473.34,9480.99,9480.99,9245,9245,9342.1,9342.1,30055.50661,30055.50661
13/06/2020,9464.96,9464.96,9494.73,9494.73,9351,9351,9473.34,9473.34,27759.78485,27759.78485
12/06/2020,9278.88,9278.88,9557.12,9557.12,9232.51,9232.51,9465.13,9465.13,50119.06693,50119.06693
11/06/2020,9885.22,9885.22,9964,9964,9113,9113,9280.4,9280.4,94418.98473,94418.98473
10/06/2020,9772.44,9772.44,9992.72,9992.72,9704.18,9704.18,9885,9885,47130.76298,47130.76298
09/06/2020,9782,9782,9877,9877,9570,9570,9772.43,9772.43,46024.00129,46024.00129
08/06/2020,9746.99,9746.99,9800,9800,9633,9633,9782.01,9782.01,40664.66413,40664.66413
07/06/2020,9666.85,9666.85,9802,9802,9372.46,9372.46,9746.99,9746.99,57952.84839,57952.84839
06/06/2020,9621.17,9621.17,9735,9735,9531.05,9531.05,9666.3,9666.3,32752.95089,32752.95089
05/06/2020,9788.14,9788.14,9854.75,9854.75,9581,9581,9621.16,9621.16,47788.05005,47788.05005
