date,1a. open (USD),1b. open (USD),2a. high (USD),2b. high (USD),3a. low (USD),3b. low (USD),4a. close (USD),4b. close (USD),5. volume,6. market cap (USD)
12/07/2020,239.19,239.19,244,244,236.52,236.52,242.79,242.79,469315.1172,469315.1172
11/07/2020,241.27,241.27,241.67,241.67,237.54,237.54,239.19,239.19,294476.0063,294476.0063
10/07/2020,241.97,241.97,242.16,242.16,235.72,235.72,241.26,241.26,455025.1239,455025.1239
09/07/2020,246.94,246.94,247.9,247.9,237.88,237.88,241.98,241.98,647641.5829,647641.5829
08/07/2020,239.39,239.39,248.88,248.88,237.78,237.78,246.95,246.95,958185.8371,958185.8371
07/07/2020,241.6,241.6,243.77,243.77,234.4,234.4,239.39,239.39,600424.9721,600424.9721
06/07/2020,227.54,227.54,242,242,226.93,226.93,241.6,241.6,864817.507,864817.507
05/07/2020,229.24,229.24,229.85,229.85,223.05,223.05,227.56,227.56,355747.1201,355747.1201
04/07/2020,224.86,224.86,230.71,230.71,224.43,224.43,229.17,229.17,307726.4659,307726.4659
03/07/2020,226.46,226.46,228.13,228.13,223.97,223.97,224.87,224.87,314578.5004,314578.5004
02/07/2020,230.99,230.99,232.01,232.01,222.87,222.87,226.46,226.46,592485.9112,592485.9112
01/07/2020,225.59,225.59,232.71,232.71,224.16,224.16,230.99,230.99,517351.5887,517351.5887
30/06/2020,227.98,227.98,228.7,228.7,222.91,222.91,225.6,225.6,415036.0298,415036.0298
29/06/2020,224.89,224.89,229.96,229.96,221.26,221.26,227.93,227.93,597915.5224,597915.5224
28/06/2020,220.94,220.94,227.96,227.96,218.32,218.32,224.93,224.93,444766.5688,444766.5688
27/06/2020,229.66,229.66,231.42,231.42,216,216,220.94,220.94,645950.6144,645950.6144
26/06/2020,232.49,232.49,233.61,233.61,227.75,227.75,229.64,229.64,628340.0701,628340.0701
25/06/2020,234.57,234.57,235.39,235.39,227.56,227.56,232.5,232.5,613748.5935,613748.5935
24/06/2020,243.15,243.15,249.24,249.24,231.07,231.07,234.58,234.58,921634.0534,921634.0534
23/06/2020,243.11,243.11,244.87,244.87,240.75,240.75,243.14,243.14,442296.3148,442296.3148
22/06/2020,228.03,228.03,246.89,246.89,227.51,227.51,243.13,243.13,749030.1111,749030.1111
21/06/2020,228.88,228.88,231.49,231.49,227.11,227.11,228.04,228.04,256305.2373,256305.2373
20/06/2020,229,229,230.85,230.85,225.62,225.62,228.89,228.89,303704.9883,303704.9883
19/06/2020,231.26,231.26,231.95,231.95,226.74,226.74,229,229,397284.5981,397284.5981
18/06/2020,233.82,233.82,234.65,234.65,227.93,227.93,231.27,231.27,334347.7992,334347.7992
17/06/2020,235.31,235.31,237.3,237.3,227.65,227.65,233.82,233.82,478187.2917,478187.2917
16/06/2020,230.86,230.86,236,236,228.7,228.7,235.3,235.3,499194.6676,499194.6676
15/06/2020,231.74,231.74,233.55,233.55,218.27,218.27,230.86,230.86,875026.9206,875026.9206
14/06/2020,238.13,238.13,238.59,238.59,229.83,229.83,231.77,231.77,304943.2119,304943.2119
13/06/2020,237.55,237.55,238.73,238.73,234.66,234.66,238.11,238.11,253797.7809,253797.7809
12/06/2020,230.46,230.46,239.38,239.38,228.19,228.19,237.55,237.55,446515.3412,446515.3412
11/06/2020,247.78,247.78,250.09,250.09,226.2,226.2,230.51,230.51,816456.8916,816456.8916
10/06/2020,243.79,243.79,250.28,250.28,242,242,247.78,247.78,431285.6172,431285.6172
09/06/2020,246.37,246.37,249.82,249.82,238,238,243.8,243.8,420327.1713,420327.1713
08/06/2020,244.57,244.57,247.7,247.7,240.59,240.59,246.4,246.4,383116.5472,383116.5472
07/06/2020,241.94,241.94,245.37,245.37,234.6,234.6,244.56,244.56,571102.5552,571102.5552
06/06/2020,240.04,240.04,244.7,244.7,237.83,237.83,241.94,241.94,389423.078,389423.078
05/06/2020,243.22,243.22,247.87,247.87,239.14,239.14,240.03,240.03,502547.411,502547.411
04/06/2020,244.54,244.54,246.6,246.6,236,236,243.21,243.21,669369.3392,669369.3392
03/06/2020,237.71,237.71,245,245,232.71,232.71,244.52,244.52,502928.1337,502928.1337
02/06/2020,248.23,248.23,253.8,253.8,225,225,237.71,237.71,955520.9186,955520.9186
01/06/2020,231.56,231.56,250.68,250.68,230.66,230.66,248.23,248.23,823816.6994,823816.6994
31/05/2020,243.71,243.71,245.39,245.39,229.58,229.58,231.57,231.57,821608.6888,821608.6888
30/05/2020,220.63,220.63,247,247,218.8,218.8,243.66,243.66,1019550.751,1019550.751
29/05/2020,220.24,220.24,224.79,224.79,217.57,217.57,220.67,220.67,603058.0759,603058.0759
28/05/2020,208.29,208.29,220.5,220.5,204.67,204.67,220.21,220.21,643945.9777,643945.9777
27/05/2020,200.92,200.92,208.44,208.44,200.76,200.76,208.29,208.29,494816.7273,494816.7273
26/05/2020,204.22,204.22,205,205,196.9,196.9,200.89,200.89,477176.7353,477176.7353
25/05/2020,199.9,199.9,205.67,205.67,198.01,198.01,204.15,204.15,469931.6249,469931.6249
24/05/2020,206.6,206.6,210.55,210.55,199.5,199.5,199.9,199.9,673535.0578,673535.0578
23/05/2020,207.36,207.36,211.2,211.2,204.55,204.55,206.6,206.6,478559.9201,478559.9201
22/05/2020,198.72,198.72,209.19,209.19,196.24,196.24,207.36,207.36,787672.3608,787672.3608
21/05/2020,209.99,209.99,211.64,211.64,191.71,191.71,198.74,198.74,1003923.434,1003923.434
20/05/2020,214.6,214.6,215.75,215.75,204.27,204.27,209.98,209.98,679532.6104,679532.6104
19/05/2020,214.92,214.92,215.95,215.95,209.45,209.45,214.58,214.58,643702.9885,643702.9885
18/05/2020,207.02,207.02,217.07,217.07,207,207,214.91,214.91,1064139.249,1064139.249
17/05/2020,200.44,200.44,209.85,209.85,199.68,199.68,207,207,708711.8932,708711.8932
16/05/2020,194.87,194.87,203.5,203.5,193.21,193.21,200.45,200.45,669900.0375,669900.0375
15/05/2020,203.29,203.29,204.08,204.08,191.66,191.66,194.86,194.86,904749.6357,904749.6357
14/05/2020,199.61,199.61,206.02,206.02,195.67,195.67,203.29,203.29,1114700.249,1114700.249
13/05/2020,189.77,189.77,201,201,188.35,188.35,199.58,199.58,806143.007,806143.007
12/05/2020,185.8,185.8,192.24,192.24,185.48,185.48,189.76,189.76,669755.7957,669755.7957
11/05/2020,187.62,187.62,193.5,193.5,176,176,185.73,185.73,1093299.819,1093299.819
