date,1a. open (USD),1b. open (USD),2a. high (USD),2b. high (USD),3a. low (USD),3b. low (USD),4a. close (USD),4b. close (USD),5. volume,6. market cap (USD)
12/07/2020,0.01836,0.01836,0.01854,0.01854,0.01788,0.01788,0.01818,0.01818,600815518.3,600815518.3
11/07/2020,0.01813,0.01813,0.01888,0.01888,0.01811,0.01811,0.01837,0.01837,826526597.9,826526597.9
10/07/2020,0.01855,0.01855,0.01869,0.01869,0.0178,0.0178,0.01812,0.01812,1068163190,1068163190
09/07/2020,0.01792,0.01792,0.01918,0.01918,0.01752,0.01752,0.01856,0.01856,1719100197,1719100197
08/07/2020,0.01722,0.01722,0.01815,0.01815,0.01682,0.01682,0.01791,0.01791,1341452981,1341452981
07/07/2020,0.01802,0.01802,0.01814,0.01814,0.0171,0.0171,0.0172,0.0172,896802894.6,896802894.6
06/07/2020,0.01689,0.01689,0.01819,0.01819,0.01688,0.01688,0.01802,0.01802,1308886115,1308886115
05/07/2020,0.01684,0.01684,0.01701,0.01701,0.01631,0.01631,0.01688,0.01688,635875944.7,635875944.7
04/07/2020,0.01661,0.01661,0.01692,0.01692,0.01657,0.01657,0.01682,0.01682,492305345.7,492305345.7
03/07/2020,0.01659,0.01659,0.01688,0.01688,0.01649,0.01649,0.01662,0.01662,518559896.1,518559896.1
02/07/2020,0.01687,0.01687,0.01725,0.01725,0.01615,0.01615,0.01658,0.01658,1094274819,1094274819
01/07/2020,0.01637,0.01637,0.017,0.017,0.01619,0.01619,0.01686,0.01686,631037219.8,631037219.8
30/06/2020,0.01619,0.01619,0.0166,0.0166,0.01617,0.01617,0.01636,0.01636,469446916.3,469446916.3
29/06/2020,0.01578,0.01578,0.01637,0.01637,0.01576,0.01576,0.01619,0.01619,659473533.8,659473533.8
28/06/2020,0.01543,0.01543,0.01597,0.01597,0.0153,0.0153,0.01577,0.01577,360321981.7,360321981.7
27/06/2020,0.01585,0.01585,0.016,0.016,0.0148,0.0148,0.01544,0.01544,603752848.7,603752848.7
26/06/2020,0.01589,0.01589,0.01604,0.01604,0.01565,0.01565,0.01585,0.01585,391427883,391427883
25/06/2020,0.01593,0.01593,0.0161,0.0161,0.01538,0.01538,0.0159,0.0159,452767718.5,452767718.5
24/06/2020,0.01651,0.01651,0.01682,0.01682,0.01557,0.01557,0.01593,0.01593,654819800.3,654819800.3
23/06/2020,0.01638,0.01638,0.01677,0.01677,0.01622,0.01622,0.0165,0.0165,502293048.3,502293048.3
22/06/2020,0.01582,0.01582,0.01645,0.01645,0.0158,0.0158,0.01638,0.01638,444402664.1,444402664.1
21/06/2020,0.01598,0.01598,0.01603,0.01603,0.01577,0.01577,0.01582,0.01582,193430086.9,193430086.9
20/06/2020,0.01586,0.01586,0.01607,0.01607,0.01556,0.01556,0.01597,0.01597,305950553.2,305950553.2
