date,1a. open (USD),1b. open (USD),2a. high (USD),2b. high (USD),3a. low (USD),3b. low (USD),4a. close (USD),4b. close (USD),5. volume,6. market cap (USD)
12/07/2020,0.09411,0.09411,0.09785,0.09785,0.08951,0.08951,0.09532,0.09532,325722476.6,325722476.6
11/07/2020,0.08895,0.08895,0.10144,0.10144,0.08846,0.08846,0.09411,0.09411,694899201,694899201
10/07/2020,0.09049,0.09049,0.09112,0.09112,0.08231,0.08231,0.089,0.089,554399959,554399959
09/07/2020,0.0854,0.0854,0.09835,0.09835,0.08328,0.08328,0.09048,0.09048,990074888.1,990074888.1
08/07/2020,0.07342,0.07342,0.08559,0.08559,0.07245,0.07245,0.08538,0.08538,397561820.4,397561820.4
07/07/2020,0.0717,0.0717,0.07435,0.07435,0.07021,0.07021,0.07348,0.07348,184228680.2,184228680.2
06/07/2020,0.06716,0.06716,0.07219,0.07219,0.0665,0.0665,0.07174,0.07174,177445139,177445139
05/07/2020,0.06795,0.06795,0.06808,0.06808,0.06488,0.06488,0.06717,0.06717,102791005.9,102791005.9
04/07/2020,0.06696,0.06696,0.0686,0.0686,0.06643,0.06643,0.06798,0.06798,90930771.5,90930771.5
03/07/2020,0.06762,0.06762,0.06873,0.06873,0.06622,0.06622,0.06698,0.06698,110541346.1,110541346.1
02/07/2020,0.0684,0.0684,0.07097,0.07097,0.06615,0.06615,0.06761,0.06761,172605783.8,172605783.8
01/07/2020,0.06688,0.06688,0.06943,0.06943,0.066,0.066,0.06837,0.06837,101607673.5,101607673.5
30/06/2020,0.06506,0.06506,0.06741,0.06741,0.06397,0.06397,0.06692,0.06692,76137474.6,76137474.6
29/06/2020,0.06424,0.06424,0.0654,0.0654,0.06292,0.06292,0.06503,0.06503,84761294.8,84761294.8
28/06/2020,0.0628,0.0628,0.06506,0.06506,0.06171,0.06171,0.06424,0.06424,70190963.5,70190963.5
27/06/2020,0.06696,0.06696,0.06715,0.06715,0.0585,0.0585,0.06279,0.06279,105940037,105940037
26/06/2020,0.06756,0.06756,0.0686,0.0686,0.06596,0.06596,0.06695,0.06695,81857862,81857862
25/06/2020,0.06894,0.06894,0.06897,0.06897,0.06554,0.06554,0.06755,0.06755,89128517,89128517
24/06/2020,0.07104,0.07104,0.07256,0.07256,0.06784,0.06784,0.06894,0.06894,102595134.6,102595134.6
23/06/2020,0.07189,0.07189,0.07231,0.07231,0.07,0.07,0.07103,0.07103,81400861.8,81400861.8
22/06/2020,0.0685,0.0685,0.07202,0.07202,0.06838,0.06838,0.07188,0.07188,66957032.7,66957032.7
21/06/2020,0.06976,0.06976,0.07023,0.07023,0.06832,0.06832,0.0685,0.0685,31934203.4,31934203.4
20/06/2020,0.06954,0.06954,0.07039,0.07039,0.06822,0.06822,0.06979,0.06979,41737634.6,41737634.6
