date,1a. open (USD),1b. open (USD),2a. high (USD),2b. high (USD),3a. low (USD),3b. low (USD),4a. close (USD),4b. close (USD),5. volume,6. market cap (USD)
12/07/2020,0.20112,0.20112,0.20401,0.20401,0.19758,0.19758,0.20128,0.20128,123496702.1,123496702.1
11/07/2020,0.19906,0.19906,0.20482,0.20482,0.19792,0.19792,0.2011,0.2011,171252017.6,171252017.6
10/07/2020,0.20263,0.20263,0.20272,0.20272,0.19252,0.19252,0.19909,0.19909,212898090.1,212898090.1
09/07/2020,0.20544,0.20544,0.21186,0.21186,0.19667,0.19667,0.20263,0.20263,366287583.8,366287583.8
08/07/2020,0.18508,0.18508,0.20669,0.20669,0.18382,0.18382,0.20551,0.20551,340558574.1,340558574.1
07/07/2020,0.18876,0.18876,0.18969,0.18969,0.18312,0.18312,0.18508,0.18508,119136986.1,119136986.1
06/07/2020,0.17691,0.17691,0.18934,0.18934,0.17644,0.17644,0.18875,0.18875,180480180.6,180480180.6
05/07/2020,0.1781,0.1781,0.1788,0.1788,0.17372,0.17372,0.17695,0.17695,109028272.5,109028272.5
04/07/2020,0.17618,0.17618,0.17964,0.17964,0.17593,0.17593,0.17808,0.17808,101070772.2,101070772.2
03/07/2020,0.17476,0.17476,0.17865,0.17865,0.1743,0.1743,0.1762,0.1762,93559429.8,93559429.8
02/07/2020,0.17645,0.17645,0.1777,0.1777,0.172,0.172,0.17477,0.17477,109348977.7,109348977.7
01/07/2020,0.17533,0.17533,0.17814,0.17814,0.17373,0.17373,0.17647,0.17647,96697381.8,96697381.8
30/06/2020,0.17737,0.17737,0.17775,0.17775,0.17487,0.17487,0.17533,0.17533,63769127,63769127
29/06/2020,0.17694,0.17694,0.17939,0.17939,0.17487,0.17487,0.17726,0.17726,108091794.8,108091794.8
28/06/2020,0.1751,0.1751,0.17983,0.17983,0.17337,0.17337,0.17693,0.17693,79916984.6,79916984.6
27/06/2020,0.18247,0.18247,0.1835,0.1835,0.169,0.169,0.17509,0.17509,100119859.4,100119859.4
26/06/2020,0.18156,0.18156,0.18694,0.18694,0.17848,0.17848,0.18249,0.18249,134171894.1,134171894.1
25/06/2020,0.18344,0.18344,0.18414,0.18414,0.17849,0.17849,0.18156,0.18156,83471401.8,83471401.8
24/06/2020,0.18889,0.18889,0.19016,0.19016,0.1799,0.1799,0.18348,0.18348,99814387.3,99814387.3
23/06/2020,0.18933,0.18933,0.19042,0.19042,0.18831,0.18831,0.18889,0.18889,80442337.3,80442337.3
22/06/2020,0.18602,0.18602,0.19051,0.19051,0.18569,0.18569,0.18928,0.18928,121678902.8,121678902.8
21/06/2020,0.18793,0.18793,0.18848,0.18848,0.18565,0.18565,0.18602,0.18602,66591992.6,66591992.6
20/06/2020,0.18724,0.18724,0.18897,0.18897,0.18488,0.18488,0.18792,0.18792,65244804.2,65244804.2
19/06/2020,0.18975,0.18975,0.19036,0.19036,0.18658,0.18658,0.18722,0.18722,101395871,101395871
18/06/2020,0.19315,0.19315,0.19325,0.19325,0.18802,0.18802,0.18975,0.18975,83020048.8,83020048.8
17/06/2020,0.19236,0.19236,0.19895,0.19895,0.18846,0.18846,0.19315,0.19315,143789678.4,143789678.4
16/06/2020,0.19238,0.19238,0.19404,0.19404,0.19007,0.19007,0.19238,0.19238,76442039.8,76442039.8
15/06/2020,0.19022,0.19022,0.19344,0.19344,0.18202,0.18202,0.19238,0.19238,130419971.5,130419971.5
14/06/2020,0.19238,0.19238,0.19249,0.19249,0.1887,0.1887,0.19022,0.19022,58429094.7,58429094.7
13/06/2020,0.19308,0.19308,0.19379,0.19379,0.19076,0.19076,0.19234,0.19234,63292600.9,63292600.9
12/06/2020,0.18823,0.18823,0.19505,0.19505,0.1869,0.1869,0.19307,0.19307,75546910.5,75546910.5
11/06/2020,0.20266,0.20266,0.2036,0.2036,0.1846,0.1846,0.18817,0.18817,132263967.7,132263967.7
