timestamp,open (CNY),high (CNY),low (CNY),close (CNY),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2020-05-13,62395.02568500,63273.20250000,62267.55868500,63210.46041000,8810.99000000,8935.00000000,8792.99000000,8926.14000000,2717.06053900,2717.06053900
2020-05-12,60632.08626000,63579.54819000,60396.55557000,62393.60938500,8562.04000000,8978.26000000,8528.78000000,8810.79000000,86522.78006600,86522.78006600
2020-05-11,61770.29575500,64923.19200000,58068.30000000,60628.40388000,8722.77000000,9168.00000000,8200.00000000,8561.52000000,168807.25183200,168807.25183200
2020-05-10,67551.13665000,67804.15864500,57480.53550000,61770.29575500,9539.10000000,9574.83000000,8117.00000000,8722.77000000,183865.18202800,183865.18202800
2020-05-09,69398.84163000,70207.76137500,67415.88000000,67553.26110000,9800.02000000,9914.25000000,9520.00000000,9539.40000000,81950.67956700,81950.67956700
2020-05-08,70717.98345000,71069.65074000,68725.95750000,69398.77081500,9986.30000000,10035.96000000,9705.00000000,9800.01000000,100683.79640000,100683.79640000
2020-05-07,64748.98710000,71289.46050000,63882.21150000,70718.69160000,9143.40000000,10067.00000000,9021.00000000,9986.40000000,147154.61137800,147154.61137800
2020-05-06,63884.76084000,66530.69250000,63069.32611500,64745.58798000,9021.36000000,9395.00000000,8906.21000000,9142.92000000,105925.30242000,105925.30242000
2020-05-05,62826.50148000,64573.22427000,62033.94000000,63888.08914500,8871.92000000,9118.58000000,8760.00000000,9021.83000000,76480.76534200,76480.76534200
2020-05-04,62983.92322500,63379.42500000,60348.54300000,62826.78474000,8894.15000000,8950.00000000,8522.00000000,8871.96000000,84418.51233100,84418.51233100
2020-05-03,63539.32527000,65149.80000000,61694.02800000,62983.99404000,8972.58000000,9200.00000000,8712.00000000,8894.16000000,90126.06564300,90126.06564300
2020-05-02,62498.98210500,63804.31500000,61984.36950000,63535.57207500,8825.67000000,9010.00000000,8753.00000000,8972.05000000,59002.08755000,59002.08755000
2020-05-01,61042.53000000,64152.58317000,60996.92514000,62508.11724000,8620.00000000,9059.18000000,8613.56000000,8826.96000000,91468.81505900,91468.81505900
2020-04-30,62165.51427000,66990.99000000,59491.68150000,61042.53000000,8778.58000000,9460.00000000,8401.00000000,8620.00000000,206277.21412400,206277.21412400
2020-04-29,54800.75427000,63399.89053500,54598.71907500,62165.44345500,7738.58000000,8952.89000000,7710.05000000,8778.57000000,183546.88751400,183546.88751400
2020-04-28,55048.11106500,55094.07000000,54238.05828000,54803.58687000,7773.51000000,7780.00000000,7659.12000000,7738.98000000,46302.75263800,46302.75263800
2020-04-27,54478.68765000,55179.18963000,53861.88900000,55055.97153000,7693.10000000,7792.02000000,7606.00000000,7774.62000000,65441.33957600,65441.33957600
2020-04-26,53387.64094500,54527.55000000,52969.62000000,54478.68765000,7539.03000000,7700.00000000,7480.00000000,7693.10000000,50522.61620900,50522.61620900
2020-04-25,53146.65750000,54562.95750000,52623.12220500,53385.09160500,7505.00000000,7705.00000000,7431.07000000,7538.67000000,43874.42772600,43874.42772600
2020-04-24,52997.66274000,53932.42074000,52318.12200000,53146.65750000,7483.96000000,7615.96000000,7388.00000000,7505.00000000,60182.11993900,60182.11993900
2020-04-23,50456.53728000,54796.64700000,49712.13000000,52986.54478500,7125.12000000,7738.00000000,7020.00000000,7482.39000000,102773.56956100,102773.56956100
2020-04-22,48447.09084000,50677.90497000,48281.66700000,50456.67891000,6841.36000000,7156.38000000,6818.00000000,7125.14000000,61486.37733400,61486.37733400
2020-04-21,48359.42187000,49145.61000000,47885.10300000,48447.16165500,6828.98000000,6940.00000000,6762.00000000,6841.37000000,60109.71080800,60109.71080800
2020-04-20,50430.19410000,51128.43000000,47807.20650000,48344.19664500,7121.40000000,7220.00000000,6751.00000000,6826.83000000,90149.49137000,90149.49137000
2020-04-19,51330.96090000,51455.24122500,49964.23140000,50425.52031000,7248.60000000,7266.15000000,7055.60000000,7120.74000000,45664.86393000,45664.86393000
2020-04-18,49760.14257000,51645.94602000,49672.47360000,51330.96090000,7026.78000000,7293.08000000,7014.40000000,7248.60000000,49488.54281900,49488.54281900
2020-04-17,50292.74218500,50619.41178000,49379.15787000,49765.59532500,7101.99000000,7148.12000000,6972.98000000,7027.55000000,54126.50976300,54126.50976300
2020-04-16,46888.38187500,50915.98500000,45805.05400500,50292.38811000,6621.25000000,7190.00000000,6468.27000000,7101.94000000,125009.85753900,125009.85753900
2020-04-15,48639.77845500,49096.03950000,46773.30750000,46888.31106000,6868.57000000,6933.00000000,6605.00000000,6621.24000000,61571.38499400,61571.38499400
2020-04-14,48423.58026000,49414.70700000,47830.43382000,48640.69905000,6838.04000000,6978.00000000,6754.28000000,6868.70000000,69068.62328500,69068.62328500
